Unnamed: 0,更新时间,标题/题目,作者,摘要,sentiment
50,2020-02-26 02:32:52,你在最痛苦的时候，都做了些什么事？,丫丫丫,我没有吃药（因为我记得我在上看过治疗抑郁症的药物会让人体会不到感情，我也不记得他说的是永久的副作用还是暂时的了，所以我不敢吃），然后接下来的一年内每一天的每一分每一秒都让我抓狂，很想谁能让我晕过去，把我治好了再让我醒来，那段时间知道跑步能让血清素增多，因为极度的害怕，我每天都去跑步，希望能让我感觉好一些，但是这个病没有人能告诉我能不能治好，也没有人告诉我我还要咬牙坚持多久，因为每一个病人的表现症状和预后都是不一样的，跑完步之后我有时候会感觉一种深深深深的绝望，就给一个网恋男友（这段关系只有一个月，是我当时觉得他懂不了我）打电话哭得撕心裂肺在此之前，大概因为我初中经历过的巨大伤害，还有不太和谐的家庭，让我成为了一个心理上情绪上比较拧巴的人，我有很多的疑问，看不懂自己，也不懂别人，总是感觉和周围的世界格格不入，总感觉自己很差劲，也总是很缺爱，很孤独，很长很长时间，我总是一种抑郁心境，对世界上让我失望的东西我都很包容，不是我能承受，是因为我接受了世界好像本来就是这个样子这一段经历，在我不停学习的过程中，我就好像找到了一个个个个个答案，回答了我一个个个个个问题，我懂得了我应该如何对待自己，关于自尊，期望，需求，理解，行为等等，如何看待别人，我以为的别人的恶意和评价，好像更看见了世界本来的样子，它并不是充满了冷漠和恶意,1.0
51,2020-02-28 09:39:44,从生物学角度解读：我们为什么会有痛苦与压力？它们的本质是什么？又该如何应对？,scott.cgi,就像本能会产生条件反射，去应对生理痛苦一样，本能也会影响潜意识的运行，自动捕捉环境信息，并自主（根据本能与智能博弈的结果）判断是否需要产生痛苦信息，以让我们感受到心理痛苦这个过程概述起来就是：环境匮乏，形成不平衡，就会产生压力，压力信息被生物体接受并处理，形成痛苦，就会驱动生物体产生应激行为，去反作用于环境，导致环境变化，产生结果主题目录如下：痛苦的本质痛苦与压力痛苦的作用机制压力与激素痛苦的意义痛苦与奖励痛苦与心智如何应对痛苦结语体验痛苦与追求卓越痛苦的本质痛苦，是一种感觉和感受，也是生物体在适应环境的过程中，进化出来的一种本能机制其作用是用来应对环境中的不利因素，以让生物体获得更多的生存优势与生存利益,1.0
52,2020-03-02 23:20:26,你觉得人生中最痛苦的事是什么?,幸平,最痛苦的就是你带着旧日的痛苦前行，还不知道未来有什么痛苦在等你,0.9890927135091225
53,2020-03-08 18:37:13,为什么会恨给自己希望的人？,小小淑子,我本可以忍受黑暗，如果我未曾见过光,0.579015742643306
54,2020-03-09 00:09:48,你在最痛苦的时候，都做了些什么事？,wangyanlin,白天上班，强颜欢笑，对同事一如既往晚上回家躺床上哭，什么事也干不了,0.9589188643985745
55,2020-03-09 14:50:00,你好，我想熬过去，能说一下鼓励的话吗？,艾达网球,先说个好玩的企鹅和大白鹅都那么可爱一个在南极一个在嘴里踌躇满志的你生活再绝望也不要放弃因为月亮总会在夜空向你微笑二更希望题主幸福,0.9999997511582965
56,2020-03-09 18:10:10,突然心里很难受很空，总觉得心里少了什么东西，很难受，这是怎么回事？,蝙蝠侠,直到我看到她的答案洛秋湫我知道我缺的是什么了，是经历，是努力，是一段不为人知的时光我那天凌晨，无数次想起自己的高中，碌碌无为，没有任何拼搏，甚至是厌学，讨厌老师，各种不想学习的破理由前两天，我又失眠了，凌晨两点我刷知乎刷到关于高考的回答,0.999996393122287
57,2020-03-13 12:21:13,这个世界上最令你痛苦的事情是什么？,假如,在大学里，我见到了很多美好的事物，眼界和欲望也随之增长，很难像小伙伴那样容易满足，只要老婆孩子热炕头就可以了正如《平凡的世界》里的对话描述的那样谁让你读了这么多书，又知道了双水村以外还有个大世界如果从小你就在这个天地里日出而作，日落而息，那你现在就会和众乡亲抱同一理想：经过几年的辛劳，像大哥一样娶个满意的媳妇，生个胖儿子，加上你的体魄，会成为一名出色的庄稼人由于原生家庭经济不富裕，自己的能力又有限，很难在城市激烈的竞争中脱颖而出，很难在城市里取得立足之地,0.9999999999990115
58,2020-03-13 20:56:51,这个世界上最令你痛苦的事情是什么？,卷毛阿肆,他又看了看向我爸，说道“前段时间交了个德国男朋友，双方家长都见过了，后来不知怎么的就没影了，也不晓得给亲戚一个交代”我爸接着说“听说这姑娘小时候有抑郁症，还总喜欢写伤感文章”我舅舅一听来劲了“就说吧，果然是什么抑郁症，文艺青年就爱搞这套”我爸又说：“听说前些天哪，他妈还跑到上海去照顾她，好歹还30岁的，人哪，不能太脆弱”我忍不住回答“她不是年薪有四十多万经济独立了吗他妈妈又没养着她，只是过去照顾她”舅舅连忙回答“你不懂，这种矫情的人赚再多钱也没啥用，太脆弱”就这样，我舅和我爸越聊越深入，凭着他们仅存知道的那一点信息，拼凑出了别人的整个人生，最后都推测出别人童年太过被溺爱，娇生惯养，没吃过苦我吃过许多苦，但它们从来都没真正的伤害到我，但那天，心里就像有个洞一般，揪心的痛，因为我发现了一个不愿意说的事实,0.9999999980880387
59,2020-03-18 08:54:31,写日记是件好事吗？,Molin,那时候那乱七八糟的心事，不管是想入非非，还是为了没有朋友的自己难受想哭，抑或在日记里散发怨气隔了几天没写，再去翻开，就会有种和老朋友好久不见的感觉一本日记就像一个忠实的朋友一样，一直在一个角落里等着你,0.04585174421350324
60,2020-03-18 18:27:53,如何坦然的面对过去的痛苦与不堪？,Suifeng,所以当下想变得坦然，在时间和阶段上，都不可能迅速实现，唯一能做到的，只有让自己不痛苦没有谁比谁痛苦，只要你让自己难受，即使生活在蜜罐里也会抑郁，只要你不让自己这样下去，你就可以找出很多事情，智慧去解决问题你认为自己该痛苦，就会一直不断的放不下曾经，不断的对现状不满，不断的对未来充满悲观，加剧痛苦的感受,0.9999934136495668
61,2020-03-20 00:05:07,如何坦然的面对过去的痛苦与不堪？,菅原小春,比如因为现在认识的人大多数都没有耐心也不想去听一个人的故事，互相分享也会有所保留，互相克制，互相戒备我很孤单，我的倾诉欲很强，我真的很渴望一个了解我又陪着我的人，然而我现在没有办法我记得老师拿我画得了奖让别人去领，我记得我眼里进了石子，一只眼青一只眼红没有一个人说要带我去看医生，幼儿园的小朋友全部都在嘲笑我，说我像个鬼，丑死了真恐怖快去死吧,0.9999999907972722
62,2020-03-30 17:24:13,遇到这样的事，我该怎么办，现在很痛苦？,本本,如果想要达到你想的目的，势必要对他进行人身攻击，要么触犯法律底线，最轻也要把自己推向舆论的风口浪尖说实话，我觉得对于他，你做什么都是在浪费时间不过，如果你要是实在出不来这口气，就找几个人约出来打一顿好了，照着脸抡，这是我初中的时候解决问题的方法，不得不说挺解气的,0.5666920883146911
